end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),mission_type,found_quantity,treatment,replicate
18.0,0.0002777777777777778,c,0.9,21000.0,0.5,68.91804137549141,41.44188591533579,0.46081122679057107,39.03,0.0,1,59.0,3.0
18.0,0.0002777777777777778,a,0.4,25000.0,0.5,37.36001241489283,73.5324187495144,2.766159691081519,18.8,0.0,1,60.0,3.0
18.0,0.0002777777777777778,b,0.4,25000.0,0.5,66.81348047352675,47.709163344336936,1.0300485799701367,19.75,0.0,1,61.0,3.0
18.0,0.0002777777777777778,c,0.4,25000.0,0.5,33.98486639568179,50.05655544364319,0.6022708021923163,28.75,0.0,1,62.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,25000.0,0.5,57.2793869868875,41.75619104085895,0.2513251414168062,21.022222222222222,0.0,1,63.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,25000.0,0.5,32.58071580648745,29.048489603515147,0.8877140303057147,21.97222222222222,0.0,1,64.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,25000.0,0.5,44.514504926353204,90.07108673873509,1.4127140303057968,30.97222222222222,0.0,1,65.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,25000.0,0.5,6.152893082993927,66.87875779851072,4.823688114327768,26.02222222222223,0.0,1,66.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,25000.0,0.5,24.267542218433814,78.88323433429672,1.0847992254382952,26.97222222222223,0.0,1,67.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,25000.0,0.5,97.16026061735677,89.57395310931173,1.4545214476605752,35.97222222222223,0.0,1,68.0,3.0
18.0,0.0002777777777777778,a,0.9,25000.0,0.5,23.058420435507397,25.018894238936007,1.703817887394277,33.8,0.0,1,69.0,3.0
18.0,0.0002777777777777778,b,0.9,25000.0,0.5,69.14775109473302,91.98206139724225,1.627984554060932,34.75,0.0,1,70.0,3.0
18.0,0.0002777777777777778,c,0.9,25000.0,0.5,65.04768582137396,86.26050872585581,0.5829845540607721,43.75,0.0,1,71.0,3.0
18.0,0.0002777777777777778,a,0.4,5000.0,0.5,72.39391394374822,50.60852621249864,,4.800000000000002,1.0,0,72.0,3.0
18.0,0.0002777777777777778,b,0.4,5000.0,0.5,47.50886106344313,56.79021741440307,,5.750000000000002,1.0,0,73.0,3.0
18.0,0.0002777777777777778,c,0.4,5000.0,0.5,59.66637746018628,11.493223803677854,,14.750000000000002,1.0,0,74.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,5000.0,0.5,6.696942393282635,76.21158405577685,,7.022222222222221,1.0,0,75.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,5000.0,0.5,7.256213782223342,17.322500718432366,,7.972222222222221,1.0,0,76.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,5000.0,0.5,19.897602629707833,53.38360410059095,,16.97222222222222,1.0,0,77.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,5000.0,0.5,15.186099700854106,12.643730522871921,,12.02222222222223,1.0,0,78.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,5000.0,0.5,10.010434458144468,7.2917093582157255,,12.972222222222229,1.0,0,79.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,5000.0,0.5,12.929386460885418,60.90274437605645,,21.97222222222223,1.0,0,80.0,3.0
18.0,0.0002777777777777778,a,0.9,5000.0,0.5,55.32777318076535,49.120312961568004,0.35895164267256724,19.8,1.0,1,81.0,3.0
18.0,0.0002777777777777778,b,0.9,5000.0,0.5,18.781482492387823,67.48099347392727,,20.75,1.0,0,82.0,3.0
18.0,0.0002777777777777778,c,0.9,5000.0,0.5,95.21012430312082,79.08541830542843,,29.75,1.0,0,83.0,3.0
18.0,0.0002777777777777778,a,0.4,9000.0,0.5,68.16117788074266,98.26874926455662,,5.6800000000000015,1.0,0,84.0,3.0
18.0,0.0002777777777777778,b,0.4,9000.0,0.5,54.10196733597712,8.408068107668132,,6.630000000000002,1.0,0,85.0,3.0
